"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.595645083E0,2.281544079E-1,-8.418388402E-1,4.845178306E-1
2.605638083E0,4.650058182E-1,-8.538115990E-1,4.828180450E-1
2.615632083E0,6.145907508E-1,-8.542980874E-1,6.090524143E-1
2.625625083E0,5.753687976E-1,-7.880298382E-1,8.190937561E-1
2.635618083E0,3.443043767E-1,-6.944340420E-1,9.247108430E-1
2.645612083E0,-7.079808712E-3,-6.441649443E-1,9.632416552E-1
2.655605083E0,-1.473814094E-1,-6.503694248E-1,1.214937392E0
2.665598083E0,-2.347949445E-2,-8.364693421E-1,1.457116200E0
2.675592083E0,1.178287044E-1,-1.179234293E0,1.492499456E0
2.685585083E0,1.543229315E-1,-1.396154299E0,1.289787599E0
2.695578083E0,4.393188536E-2,-1.313914381E0,9.597005814E-1
2.705572083E0,-7.371745571E-2,-1.098257958E0,5.581629270E-1
2.715565083E0,-9.117417186E-3,-8.859718698E-1,1.469276655E-1
2.725558083E0,2.242981692E-1,-6.861976540E-1,-2.546275306E-1
2.735552083E0,4.338859132E-1,-4.886763704E-1,-4.639847481E-1
2.745545083E0,6.851127762E-1,-2.941716653E-1,-1.340480036E-1
2.755539083E0,7.269834450E-1,-1.022835892E-1,9.734152257E-2
2.765532083E0,2.801694111E-1,-1.994941342E-1,3.205677509E-2
2.775525083E0,1.150023066E-1,-4.051015323E-1,1.898590922E-3
2.785519083E0,2.902255256E-1,-5.892344463E-1,-1.145229810E-1
2.795512083E0,3.404256993E-1,-7.166850364E-1,-1.684308010E-1
2.805505083E0,2.126658645E-1,-7.964276093E-1,-2.838074756E-1
2.815499083E0,1.488579775E-1,-8.179634893E-1,-3.742077684E-1
2.825492083E0,1.298412973E-1,-7.170984346E-1,-5.118699360E-1
2.835485083E0,5.357584432E-2,-5.492313051E-1,-6.061878633E-1
2.845479083E0,5.996173471E-2,-3.702649909E-1,-2.989225280E-1
2.855472083E0,4.741389497E-1,-3.137382030E-2,7.883719003E-1
